scene_id,random_seed,strategy,source_candidate_count,reachable_count,reachability_rate,attempt_count,successful_observation_count,successful_observation_rate,planning_time_sec_total,execution_ik_time_sec_total,execution_motion_planning_time_sec_total,trajectory_execution_time_sec_total,sensor_settle_wait_time_sec_total,episode_wall_time_sec,replan_after_execution_failure_count,candidate_collision_rejection_count,candidate_collision_rejection_rate,candidate_collision_metric_scope,motion_cost_total,failure_codes,termination_reason
occlusion_medium,17,fixed_view,24,17,0.7083333333333334,3,0,0.0,0.14908898700377904,0.15663980999670457,0.1991906819966971,60.34986945199489,0.0,60.9423537900002,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|PLANNING_FAILED|PLANNING_FAILED,MAX_FAILED_ATTEMPTS
occlusion_medium,17,random_reachable,24,15,0.625,3,0,0.0,0.19889016300294315,0.17835743199975695,0.14984415099752368,78.59984366300341,0.0,79.20653802300512,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|EXECUTION_FAILED|PLANNING_FAILED,MAX_FAILED_ATTEMPTS
occlusion_medium,18,coverage_nbv,24,15,0.625,3,0,0.0,0.1481008429909707,0.1429118490050314,0.1495125160072348,107.19959653100523,0.0,107.82586429899675,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|EXECUTION_FAILED|EXECUTION_FAILED,MAX_FAILED_ATTEMPTS
occlusion_medium,18,fixed_view,24,20,0.8333333333333334,3,0,0.0,0.1992582120001316,0.1445166440025787,0.24923388199385954,146.49985917499725,0.0,147.23583413800225,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|EXECUTION_FAILED|EXECUTION_FAILED,MAX_FAILED_ATTEMPTS
occlusion_medium,18,random_reachable,24,20,0.8333333333333334,3,0,0.0,0.14835116900212597,0.14766232300462434,0.20074459600436967,117.29950732699945,0.0,118.00854420099495,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|EXECUTION_FAILED|EXECUTION_FAILED,MAX_FAILED_ATTEMPTS
occlusion_medium,19,coverage_nbv,24,15,0.625,3,0,0.0,0.24878566699044313,0.09384115800639847,0.3492760949957301,91.89875590600423,0.0,92.69517455599998,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|EXECUTION_FAILED|PLANNING_FAILED,MAX_FAILED_ATTEMPTS
occlusion_medium,19,fixed_view,24,15,0.625,3,0,0.0,0.19862898700375808,0.1472992159979185,0.15040449200751027,130.69969655900059,0.0,131.33255916000053,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|EXECUTION_FAILED|EXECUTION_FAILED,MAX_FAILED_ATTEMPTS
occlusion_medium,19,random_reachable,24,15,0.625,3,0,0.0,0.14902263800468063,0.11644774500018684,0.20047543101100018,127.14940485999978,0.0,127.82379033399775,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|EXECUTION_FAILED|EXECUTION_FAILED,MAX_FAILED_ATTEMPTS
occlusion_medium,20,coverage_nbv,24,20,0.8333333333333334,3,0,0.0,0.248783415001526,0.11580954400415067,0.24773071999516105,63.89999838399672,0.0,64.53457316199638,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|PLANNING_FAILED|PLANNING_FAILED,MAX_FAILED_ATTEMPTS
occlusion_medium,20,fixed_view,24,18,0.75,3,0,0.0,0.19202353600849165,0.11249980299908202,0.15069890100130579,122.69912544299586,0.0,123.34857738300343,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|EXECUTION_FAILED|EXECUTION_FAILED,MAX_FAILED_ATTEMPTS
occlusion_medium,20,random_reachable,24,20,0.8333333333333334,3,0,0.0,0.24930974800372496,0.07258225000259699,0.2015788759890711,154.34589444699668,0.0,155.0878430590019,2,0,0.0,p3_moveit_state_validity,0,EXECUTION_FAILED|EXECUTION_FAILED|EXECUTION_FAILED,MAX_FAILED_ATTEMPTS
